step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,284,9.866,True
4,276,9.866,True
5,264,7.871,True
6,261,9.074,True
7,261,9.074,True
8,254,9.074,True
9,270,9.074,True
10,270,9.074,True
11,264,8.347,True
12,251,8.347,True
13,253,7.644,True
14,264,7.644,True
15,276,7.644,True
16,266,7.644,True
17,268,7.644,True
18,271,7.644,True
19,299,9.169,True
20,299,9.169,True
21,292,9.169,True
22,280,9.169,True
23,260,7.514,True
24,260,7.514,True
25,265,7.514,True
26,269,7.514,True
27,271,7.514,True
28,299,9.51,True
29,307,9.51,True
30,299,9.51,True
31,297,9.93,True
32,287,9.93,True
33,306,9.93,True
34,303,9.93,True
35,296,9.725,True
36,282,9.725,True
37,285,9.725,True
38,281,9.725,True
39,282,9.725,True
40,277,9.725,True
41,280,9.725,True
42,274,9.673,True
43,260,9.673,True
44,281,9.673,True
45,285,9.673,True
46,295,8.943,True
47,277,8.501,True
48,276,7.893,True
49,267,9.904,True
50,264,9.904,True
51,273,9.904,True
52,277,9.736,True
53,272,9.736,True
54,245,9.736,True
55,245,9.675,True
56,258,9.675,True
57,255,9.675,True
58,253,9.375,True
59,250,9.61,True
60,245,9.61,True
61,242,9.61,True
62,252,9.61,True
63,251,9.61,True
64,256,9.61,True
65,255,9.61,True
66,255,9.61,True
67,249,9.61,True
68,251,9.61,True
69,241,9.61,True
70,238,9.61,True
71,237,9.661,True
72,233,9.661,True
73,244,9.61,True
74,244,9.61,True
75,265,9.61,True
76,263,8.884,True
77,254,8.884,True
78,246,8.884,True
79,252,8.884,True
80,252,8.884,True
81,250,8.884,True
82,249,8.884,True
83,274,9.844,True
84,269,9.844,True
85,249,9.844,True
86,262,9.844,True
87,258,8.858,True
88,256,8.858,True
89,277,7.581,True
90,275,7.581,True
91,271,7.581,True
92,256,8.138,True
93,257,8.138,True
94,254,8.138,True
95,253,8.138,True
96,255,8.138,True
97,254,8.05,True
98,254,7.824,True
99,251,7.824,True
100,238,8.545,True
101,229,8.545,True
102,247,8.545,True
103,242,8.545,True
104,246,8.545,True
105,249,7.907,True
106,235,7.907,True
107,258,8.302,True
108,266,8.302,True
109,277,8.302,True
110,256,7.895,True
111,252,7.895,True
112,252,7.895,True
113,252,7.352,True
114,250,7.352,True
115,252,7.352,True
116,269,8.293,True
117,270,8.293,True
118,265,8.293,True
119,254,9.946,True
120,254,9.946,True
121,252,9.946,True
122,247,9.946,True
123,250,9.946,True
124,251,9.946,True
125,250,9.946,True
126,248,9.946,True
127,249,9.946,True
128,260,9.946,True
129,258,9.946,True
130,263,9.946,True
131,261,9.946,True
132,262,9.946,True
133,261,9.946,True
134,258,9.102,True
135,258,9.102,True
136,250,9.077,True
137,247,9.077,True
138,252,9.775,True
139,255,8.898,True
140,260,8.898,True
141,260,8.898,True
142,258,8.898,True
143,254,8.376,True
144,258,8.376,True
145,255,8.694,True
146,255,9.058,True
147,253,8.966,True
148,254,8.966,True
149,250,8.966,True
150,247,8.376,True
151,252,8.376,True
152,247,7.775,True
153,263,7.775,True
154,258,7.775,True
155,258,7.775,True
156,254,7.775,True
157,247,7.775,True
158,243,7.775,True
159,248,7.775,True
160,247,8.884,True
161,241,8.884,True
162,247,8.884,True
163,247,8.884,True
164,250,9.431,True
165,251,9.096,True
166,247,9.096,True
167,244,9.096,True
168,234,9.096,True
169,247,8.238,True
170,247,8.238,True
171,261,8.238,True
172,264,8.238,True
173,295,8.238,True
174,303,8.238,True
175,284,8.238,True
176,289,6.796,True
177,280,6.078,True
178,278,8.907,True
179,293,8.907,True
180,298,8.296,True
181,296,8.296,True
182,296,8.296,True
183,299,7.697,True
184,298,7.697,True
185,296,7.697,True
186,305,7.697,True
187,272,7.697,True
188,278,9.218,True
189,281,9.218,True
190,276,9.968,True
191,266,9.968,True
192,270,9.968,True
193,270,9.968,True
194,265,9.968,True
195,268,9.968,True
196,268,9.968,True
197,273,9.968,True
198,280,7.723,True
199,280,7.723,True
200,285,7.29,True
201,286,7.29,True
202,283,8.407,True
203,268,9.964,True
204,265,9.964,True
205,285,8.407,True
206,286,8.581,True
207,283,6.688,True
208,300,6.431,True
209,289,6.431,True
210,282,9.938,True
211,266,8.141,True
212,267,4.665,True
213,277,4.665,True
214,280,4.368,True
215,272,8.097,True
216,262,9.189,True
217,267,2.5,True
218,257,3.931,True
219,267,5.941,True
220,280,8.096,True
221,269,8.096,True
222,272,8.096,True
223,269,9.854,True
224,267,9.854,True
225,278,7.43,True
226,288,7.373,True
227,282,7.717,True
228,276,8.145,True
229,265,9.471,True
230,271,9.471,True
231,282,9.471,True
232,278,9.471,True
233,271,9.471,True
234,256,9.471,True
235,253,9.488,True
236,248,9.488,True
237,244,9.488,True
238,234,9.488,True
239,234,9.471,True
240,262,9.123,True
241,277,9.123,True
242,266,9.123,True
243,266,9.123,True
244,256,9.123,True
245,254,9.123,True
246,262,9.123,True
247,272,9.123,True
248,265,9.123,True
249,268,9.123,True
250,271,9.123,True
251,269,8.478,True
252,292,8.478,True
253,290,8.478,True
254,291,8.478,True
255,291,8.478,True
256,285,7.697,True
257,265,7.697,True
258,265,7.697,True
259,254,7.739,True
260,254,7.739,True
261,262,9.002,True
262,259,7.697,True
263,259,7.697,True
264,269,7.697,True
265,288,8.432,True
266,290,8.432,True
267,293,8.485,True
268,296,8.432,True
269,295,8.432,True
270,286,8.432,True
271,296,9.018,True
272,292,9.018,True
273,291,9.262,True
274,286,9.262,True
275,278,9.262,True
276,286,8.432,True
277,272,7.697,True
278,266,8.275,True
279,273,8.275,True
280,271,8.275,True
281,264,9.109,True
282,269,8.531,True
283,280,9.232,True
284,280,9.232,True
285,283,9.232,True
286,289,9.232,True
287,290,9.232,True
288,284,9.232,True
289,285,9.99,True
290,299,9.99,True
291,298,9.232,True
292,296,9.232,True
293,301,9.232,True
294,308,9.232,True
295,314,8.626,True
296,310,8.626,True
297,300,8.626,True
298,286,7.521,True
299,280,7.521,True
